"id","title","slug","content","isHighlighted","createdAt","updatedAt","titleVal","contentVal"
2,Centro de salud de L'Eliana,centro-salud-leliana,"# Centro de Salud de L’Eliana

El Centro de Salud de L’Eliana es el principal recurso sanitario de atención primaria del municipio. Forma parte del sistema público de salud de la Comunitat Valenciana y ofrece atención médica general, pediátrica y de enfermería, además de servicios preventivos y de seguimiento.



## 📍 Datos de contacto

* **Teléfono Urgencias:** 962 718 445
* **Teléfono cita previa:** 962 718 440
* **Teléfono alternativo:** 961 655 500
* **Dirección:** Calle Rosales, 23, 46183 L’Eliana (Valencia)
* **Emergencias (Comunitat Valenciana):** 061



<img height=""329"" width=""746"" alt=""Centro de Salud de l'Eliana"" title=""Centro de Salud de l'Eliana"" src=""/media/2026/04/2026-04-25-centro-salud-entrada-f27d4d19.webp"" />



## 🕒 Horario

### Atención ordinaria

* Lunes a jueves: 08:00 – 20:00
* Viernes: 08:00 – 15:00

### Urgencias

* Atención continuada fuera del horario habitual
* Servicio activo en horario de tarde, noches, fines de semana y festivos



## 🩺 Servicios disponibles

### Atención primaria

* Medicina de familia
* Enfermería
* Pediatría

### Servicios asistenciales

* Matrona
* Control de enfermedades crónicas
* Vacunación
* Extracciones y analíticas

### Otros servicios

* Atención domiciliaria
* Programas de prevención y salud comunitaria
* Urgencias de atención primaria

***

## 📌 Información útil

El centro de salud funciona como puerta de entrada al sistema sanitario público. En caso de necesitar atención especializada, el personal médico realiza las derivaciones correspondientes a hospitales de referencia.

Se recomienda solicitar cita previa para consultas programadas, salvo en situaciones de urgencia.",true,2026-04-24 05:54:41.486,2026-05-14 05:35:45.373,,"# Centre de Salut de L’Eliana

El Centre de Salut de L’Eliana és el principal recurs sanitari d’atenció primària del municipi. Forma part del sistema públic de salut de la Comunitat Valenciana i ofereix atenció mèdica general, pediàtrica i d’infermeria, a més de serveis preventius i de seguiment.



## 📍 Dades de contacte

* **Telèfon Urgències:** 962 718 445
* **Telèfon cita prèvia:** 962 718 440
* **Telèfon alternatiu:** 961 655 500
* **Adreça:** Carrer Rosales, 23, 46183 L’Eliana (València)
* **Emergències (Comunitat Valenciana):** 061



<img height=""329"" width=""746"" alt=""Centro de Salud de l'Eliana"" title=""Centro de Salud de l'Eliana"" src=""/media/2026/04/2026-04-25-centro-salud-entrada-f27d4d19.webp"" />



## 🕒 Horari

### Atenció ordinària

* Dilluns a dijous: 08:00 – 20:00
* Divendres: 08:00 – 15:00



### Urgències

* Atenció continuada fora de l’horari habitual
* Servei actiu en horari de vesprada, nits, caps de setmana i festius



## 🩺 Serveis disponibles

### Atenció primària

* Medicina de família
* Infermeria
* Pediatria

### Serveis assistencials

* Matrona
* Control de malalties cròniques
* Vacunació
* Extraccions i analítiques

### Altres serveis

* Atenció domiciliària
* Programes de prevenció i salut comunitària
* Urgències d’atenció primària



## 📌 Informació útil

El centre de salut funciona com a porta d’entrada al sistema sanitari públic. En cas de necessitat d’atenció especialitzada, el personal sanitari realitza les derivacions corresponents a hospitals de referència.

Es recomana demanar cita prèvia per a consultes programades, excepte en situacions d’urgència."
12,Actividades para ninos,actividades-ninos,"## Agenda infantil
Talleres y actividades por edades.

## Escuelas deportivas
Opciones municipales y asociaciones.",false,2026-04-24 05:54:41.499,2026-04-24 08:41:47.744,,
13,Eventos en L'Eliana,eventos-leliana,"## Proximos eventos
Actividades culturales y deportivas.

## Participacion vecinal
Eventos de asociaciones y colectivos locales.",true,2026-04-24 05:54:41.500,2026-04-24 08:41:47.745,,
4,Farmacias de guardia,farmacias-de-guardia,"## Guardias
Consulta diaria de farmacias abiertas.

## Recomendaciones
Que llevar para una atencion mas rapida.",true,2026-04-24 05:54:41.489,2026-04-24 08:41:47.734,,
5,Hospitales cercanos,hospitales-cercanos,"## Hospitales de referencia
Centros recomendados por proximidad.

## Desplazamiento
Tiempos orientativos segun trafico.",false,2026-04-24 05:54:41.490,2026-04-24 08:41:47.735,,
6,Urgencias en L'Eliana,urgencias-leliana,"## Actuacion inmediata
Pasos basicos ante una urgencia.

## Telefonos y recursos
Canales de contacto rapido.",false,2026-04-24 05:54:41.491,2026-04-24 08:41:47.736,,
7,Como empadronarse,como-empadronarse,"## Documentacion
DNI/NIE, contrato o autorizacion de vivienda.

## Pasos
Solicitud de cita y presentacion en oficina.",true,2026-04-24 05:54:41.492,2026-04-24 08:41:47.737,,
8,Recogida de basura y horarios,recogida-basura-horarios,"## Horarios
Franja recomendada para sacar residuos.

## Recogida selectiva
Dias por tipo de residuo.",false,2026-04-24 05:54:41.493,2026-04-24 08:41:47.738,,
9,Puntos limpios,puntos-limpios,"## Ubicaciones
Mapa y direcciones de puntos limpios.

## Residuos admitidos
Electrodomesticos, aceite, pilas y otros.",false,2026-04-24 05:54:41.495,2026-04-24 08:41:47.739,,
10,Transportes: metro y autobus,transporte-publico-leliana,"## Metro (FGV / Metrovalencia)

En l'Eliana opera la LÍNEA 2 de Metrovalencia (eje documentado de la FGV entre terminales de referencia de la L2, p. ej. sentido Llíria y Torrent Avinguda). En el término municipal hay estación L'Eliana (pl. de l'Estació; aparcamiento P+M, según FGV). Otras paradas/apeaderos próximas en el corredor o colindante: Entrepins, Montesol, Fuente del Jarro, etc. (seguir plano actual: https://www.metrovalencia.es/ ).

- Información: 900 461 046
- Web FGV/Metro: https://www.metrovalencia.es/
- Obras o cambios de frecuencia: notas en leliana.es y FGV (tras incidencias, publican frecuencias o servicios reforzados).

## Autobús: Metrobús (concesión CV-103, eje València — Nord)

Autobuses interurbanos (operador frecuente: Edetania Bus) que conectan l'Horta, l'Eliana y la capital. Los recorridos se actualizan: comprueba parada y horario en metgovalencia.com o atmv.gva.es.

Líneas que en documentación reciente (ATMV, noticias de l'Eliana) enlazan o pasan el municipio, el eje a Llíria, el C.C. El Osito o universitats, según ficha (letras A/B/N = variantes):

- L145A, L145B, L145N (eje València – Llíria, variantes; línea N nocturna, con trazado por Corts Valencianes / Camp de Túria en reseñas del ayuntamiento)
- L146A, L146B: València — C.C. El Osito (l'Eliana) — prolongaciones a Benaguasil según guía
- L136B: l'Eliana — universidades (UPV, UV) según puesta en servicio publicada
- Otras: L133B, L134N, etc. (Bétera, Serra, Hospital, Paterna…)

Teléfono (Conselleria/ATMV, según ficha pública de transport: 961 352 030. En guías de teléfono: 962 110 008 para info de autobús interurbano.

## Enlaces (horarios y mapas oficiales)

https://atmv.gva.es/es/serveis-de-transport-public
https://www.metgovalencia.com/
https://www.leliana.es/ (búsqueda: transporte, metro, autobús)
VivaLeliana (resumen horarios CVT/Metro, contrastar con web oficial):
https://vivaleliana.com/index.php/info-de-utilidad/horarios-cvt
",true,2026-04-24 05:54:41.496,2026-04-24 08:41:47.741,,
